studentid,name,academicinterest,extracurricularactivities,skills,location,yearofstudy,major,gpa,languages,clubmemberships,researchinterests
255,Student 255,Computer Science,Debate Club,Public Speaking,Houston,Freshman,Psychology,3.76,"Chinese, English, French, Japanese, Spanish","Debate Club, Music Club, Volunteer Group",Human-Computer Interaction
256,Student 256,History,Music Club,"Artistic, Leadership, Problem Solving, Programming, Public Speaking",New York,Sophomore,Mathematics,3.8,"English, French, German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Healthcare Management
257,Student 257,Computer Science,Art Club,"Artistic, Leadership, Programming, Public Speaking",New York,Sophomore,History,2.32,"German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team",Educational Technology
258,Student 258,Biology,Music Club,"Data Analysis, Leadership, Programming",Boston,Junior,Biology,2.37,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Space Exploration
259,Student 259,Psychology,Debate Club,"Artistic, Leadership, Problem Solving, Public Speaking",San Francisco,Senior,Biology,3.55,German,"Coding Club, Debate Club, Music Club, Sports Team",Quantum Computing
260,Student 260,Psychology,Volunteer Group,"Data Analysis, Programming",Los Angeles,Freshman,Psychology,3.76,"Chinese, German, Japanese, Spanish","Coding Club, Music Club, Sports Team",Artificial Intelligence
261,Student 261,Psychology,Volunteer Group,"Artistic, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Senior,Biology,3.75,"Chinese, English, French, German, Japanese, Spanish",Debate Club,Urban Planning
262,Student 262,History,Coding Club,"Leadership, Problem Solving, Public Speaking",San Francisco,Sophomore,Computer Science,2.98,"Chinese, French, Japanese, Spanish","Art Club, Coding Club, Music Club, Sports Team",Sustainable Agriculture
263,Student 263,Biology,Coding Club,"Artistic, Leadership, Public Speaking",Boston,Senior,Physics,2.17,"English, Japanese",Music Club,Educational Technology
264,Student 264,Computer Science,Sports Team,"Artistic, Public Speaking",Los Angeles,Freshman,Biology,2.95,"Chinese, English, French, German, Japanese, Spanish",Sports Team,Quantum Computing
265,Student 265,Computer Science,Music Club,"Data Analysis, Problem Solving",Boston,Graduate,Mathematics,2.21,"Chinese, English, French, German, Japanese, Spanish","Art Club, Debate Club, Sports Team, Volunteer Group",Machine Learning
266,Student 266,History,Coding Club,"Leadership, Problem Solving, Public Speaking",Houston,Senior,History,2.37,Japanese,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
267,Student 267,Psychology,Debate Club,"Artistic, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Graduate,Computer Science,2.9699999999999998,"German, Spanish","Art Club, Coding Club, Debate Club, Sports Team",Cybersecurity
268,Student 268,Psychology,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Graduate,History,3.35,Spanish,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Educational Technology
269,Student 269,History,Debate Club,Data Analysis,New York,Freshman,Biology,3.23,"English, German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Artificial Intelligence
270,Student 270,Psychology,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Junior,Mathematics,3.84,"Chinese, English, French, German","Coding Club, Volunteer Group",Sustainable Agriculture
271,Student 271,History,Coding Club,"Artistic, Data Analysis, Problem Solving, Programming",Houston,Graduate,Mathematics,3.84,"English, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Urban Planning
272,Student 272,History,Volunteer Group,Data Analysis,San Francisco,Sophomore,Psychology,3.8,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team",Human-Computer Interaction
273,Student 273,Computer Science,Art Club,Artistic,Boston,Senior,Physics,2.73,"English, German","Art Club, Coding Club, Debate Club, Music Club, Sports Team",Environmental Sustainability
274,Student 274,History,Art Club,Problem Solving,Boston,Senior,Mathematics,3.07,"Chinese, English, French, German, Japanese, Spanish","Sports Team, Volunteer Group",Healthcare Management
275,Student 275,Computer Science,Art Club,Programming,San Francisco,Junior,Biology,3.85,"Chinese, English, French, German, Japanese, Spanish","Music Club, Sports Team, Volunteer Group",Climate Change
276,Student 276,Physics,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Graduate,Physics,2.85,"Chinese, English, French, German, Japanese","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Healthcare Management
277,Student 277,Physics,Music Club,"Artistic, Data Analysis, Leadership, Programming",Boston,Sophomore,Biology,3.1,"English, French, German, Japanese, Spanish","Coding Club, Debate Club, Volunteer Group",Human-Computer Interaction
278,Student 278,Physics,Debate Club,Leadership,Chicago,Graduate,Computer Science,3.96,"Chinese, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Cybersecurity
279,Student 279,Computer Science,Music Club,"Data Analysis, Leadership, Public Speaking",San Francisco,Graduate,Mathematics,3.94,"Chinese, German","Art Club, Sports Team",Biomedical Engineering
280,Student 280,Computer Science,Volunteer Group,Leadership,Boston,Graduate,Psychology,2.83,"Chinese, English, French, German, Japanese",Volunteer Group,Quantum Computing
281,Student 281,Physics,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Freshman,History,3.73,German,"Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Bioinformatics
282,Student 282,Biology,Art Club,"Leadership, Public Speaking",New York,Graduate,Mathematics,3.19,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Environmental Sustainability
283,Student 283,Physics,Volunteer Group,Public Speaking,Chicago,Graduate,Psychology,2.9699999999999998,"English, French","Art Club, Coding Club, Debate Club, Music Club",Environmental Sustainability
284,Student 284,Psychology,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",San Francisco,Sophomore,History,2.08,"English, German, Spanish","Art Club, Coding Club, Music Club, Volunteer Group",Artificial Intelligence
285,Student 285,History,Art Club,Programming,Chicago,Sophomore,Biology,3.2800000000000002,"Chinese, German","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Machine Learning
286,Student 286,History,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Senior,Physics,3.3,"French, German, Spanish","Art Club, Debate Club, Music Club, Sports Team",Healthcare Management
287,Student 287,Biology,Art Club,"Artistic, Data Analysis, Problem Solving, Public Speaking",Chicago,Graduate,Psychology,2.51,Spanish,"Coding Club, Music Club, Sports Team",Healthcare Management
288,Student 288,Mathematics,Music Club,"Artistic, Problem Solving, Public Speaking",New York,Graduate,History,2.27,"German, Japanese","Art Club, Sports Team, Volunteer Group",Quantum Computing
289,Student 289,Biology,Art Club,Artistic,San Francisco,Graduate,Computer Science,3.17,"Chinese, Japanese","Debate Club, Volunteer Group",Behavioral Economics
290,Student 290,Psychology,Volunteer Group,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",Houston,Junior,Physics,3.5700000000000003,"English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Bioinformatics
291,Student 291,Physics,Debate Club,"Data Analysis, Leadership, Problem Solving",Los Angeles,Sophomore,Physics,2.81,"German, Spanish","Art Club, Debate Club",Astrophysics
292,Student 292,Psychology,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Senior,Psychology,3.06,"Chinese, English, French, German, Japanese, Spanish","Debate Club, Music Club",Machine Learning
293,Student 293,Biology,Volunteer Group,"Data Analysis, Problem Solving",Boston,Sophomore,History,3.48,"Chinese, English, French, Japanese, Spanish","Art Club, Debate Club, Volunteer Group",Blockchain Technology
294,Student 294,Physics,Art Club,"Artistic, Leadership, Problem Solving, Programming, Public Speaking",Boston,Sophomore,Mathematics,3.08,"Chinese, French, German","Art Club, Music Club, Volunteer Group",Sustainable Agriculture
295,Student 295,Physics,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Junior,History,3.32,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Cybersecurity
296,Student 296,Biology,Debate Club,"Problem Solving, Programming",San Francisco,Senior,Psychology,2.86,Chinese,"Art Club, Coding Club, Debate Club, Volunteer Group",Space Exploration
297,Student 297,Psychology,Debate Club,"Data Analysis, Leadership",Boston,Junior,Psychology,3.65,"Chinese, German, Japanese","Art Club, Volunteer Group",Space Exploration
298,Student 298,Mathematics,Music Club,"Problem Solving, Programming",New York,Graduate,Computer Science,2.73,Spanish,"Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Climate Change
299,Student 299,History,Art Club,"Leadership, Programming",Houston,Senior,History,2.14,"English, Spanish","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Environmental Sustainability
300,Student 300,Psychology,Debate Club,"Artistic, Problem Solving",Houston,Senior,Biology,2.15,"English, French, German, Japanese","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Renewable Energy
301,Student 301,Mathematics,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Houston,Senior,Computer Science,2.05,"Chinese, German, Spanish","Art Club, Coding Club, Music Club, Sports Team",Sustainable Agriculture
302,Student 302,Computer Science,Debate Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",New York,Graduate,Psychology,2.3,"Chinese, German",Music Club,Cybersecurity
303,Student 303,Computer Science,Music Club,"Artistic, Data Analysis, Programming",Boston,Senior,Biology,3.86,"Chinese, English, French, German, Japanese, Spanish",Debate Club,Bioinformatics
304,Student 304,Mathematics,Music Club,"Artistic, Public Speaking",Houston,Graduate,Physics,3.48,"Chinese, English, French, Spanish","Art Club, Coding Club, Music Club",Sustainable Agriculture
305,Student 305,Computer Science,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Graduate,Mathematics,3.45,"English, Spanish","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Sustainable Agriculture
306,Student 306,Physics,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Chicago,Junior,Mathematics,2.64,"Chinese, German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Blockchain Technology
307,Student 307,Psychology,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Boston,Graduate,Computer Science,2.49,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Political Science
308,Student 308,Mathematics,Music Club,Leadership,New York,Freshman,Physics,2.1,"Chinese, English, French, German, Japanese","Debate Club, Music Club",Machine Learning
309,Student 309,Computer Science,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",San Francisco,Freshman,Mathematics,3.99,"French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Human-Computer Interaction
310,Student 310,History,Sports Team,"Leadership, Problem Solving",Boston,Junior,Mathematics,3.89,"Chinese, English, French, German, Spanish","Debate Club, Music Club, Sports Team, Volunteer Group",Space Exploration
311,Student 311,Physics,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Junior,Physics,3.79,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Sports Team",Educational Technology
312,Student 312,Biology,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Graduate,Mathematics,2.4,"English, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Climate Change
313,Student 313,History,Music Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Sophomore,Biology,3.7,Chinese,Art Club,Behavioral Economics
314,Student 314,Mathematics,Art Club,Programming,Boston,Freshman,Psychology,2.15,"Chinese, English, German, Japanese","Art Club, Volunteer Group",Sustainable Agriculture
315,Student 315,Psychology,Art Club,"Artistic, Data Analysis, Leadership, Public Speaking",San Francisco,Graduate,Mathematics,2.59,"Chinese, English, French, German, Japanese, Spanish",Sports Team,Data Science
316,Student 316,Psychology,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Junior,History,2.9699999999999998,Chinese,"Art Club, Sports Team, Volunteer Group",Educational Technology
317,Student 317,Mathematics,Sports Team,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",New York,Sophomore,Psychology,2.23,"Chinese, French, German","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Nanotechnology
318,Student 318,History,Debate Club,"Artistic, Leadership",San Francisco,Graduate,Psychology,2.02,"Chinese, German, Spanish",Coding Club,Cognitive Psychology
319,Student 319,Computer Science,Music Club,Public Speaking,Boston,Graduate,History,3.44,"Chinese, English, Japanese, Spanish","Art Club, Coding Club, Music Club",Healthcare Management
320,Student 320,Psychology,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Junior,Biology,2.75,"Chinese, English, French, German, Japanese, Spanish","Art Club, Sports Team, Volunteer Group",Blockchain Technology
321,Student 321,Physics,Sports Team,Artistic,San Francisco,Sophomore,Physics,2.67,German,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Artificial Intelligence
322,Student 322,Mathematics,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Graduate,Biology,2.37,Japanese,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Robotics
323,Student 323,Physics,Coding Club,"Data Analysis, Problem Solving, Programming",San Francisco,Junior,History,2.46,"Chinese, English, Japanese, Spanish","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Nanotechnology
324,Student 324,Mathematics,Coding Club,"Artistic, Data Analysis, Programming, Public Speaking",Boston,Graduate,Biology,2.39,"English, French, German, Japanese, Spanish",Volunteer Group,Astrophysics
325,Student 325,Computer Science,Debate Club,"Artistic, Programming",New York,Sophomore,History,3.81,"Chinese, English, French, German, Japanese, Spanish","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Climate Change
326,Student 326,History,Music Club,"Data Analysis, Leadership, Public Speaking",New York,Junior,Biology,2.7199999999999998,"Chinese, English",Coding Club,Environmental Sustainability
327,Student 327,Psychology,Debate Club,"Data Analysis, Leadership, Problem Solving",Los Angeles,Senior,History,3.65,"Chinese, English, Japanese, Spanish",Volunteer Group,Human-Computer Interaction
328,Student 328,Computer Science,Volunteer Group,"Artistic, Leadership, Programming, Public Speaking",Chicago,Junior,Psychology,2.74,"Chinese, French, German, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Healthcare Management
329,Student 329,Physics,Coding Club,"Leadership, Public Speaking",New York,Senior,Computer Science,3.62,"French, Japanese, Spanish","Art Club, Volunteer Group",Artificial Intelligence
330,Student 330,Psychology,Art Club,"Artistic, Leadership",New York,Junior,Psychology,3.9699999999999998,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Artificial Intelligence
331,Student 331,History,Music Club,"Artistic, Data Analysis, Leadership, Programming, Public Speaking",New York,Freshman,Mathematics,2.96,"Chinese, English, French, Japanese, Spanish","Art Club, Music Club, Sports Team",Quantum Computing
332,Student 332,Physics,Music Club,Problem Solving,Los Angeles,Freshman,Computer Science,2.22,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team",Urban Planning
333,Student 333,Physics,Art Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",Boston,Sophomore,Psychology,3.4,"Chinese, English, French, Japanese, Spanish","Coding Club, Volunteer Group",Artificial Intelligence
334,Student 334,Mathematics,Sports Team,"Leadership, Problem Solving, Programming, Public Speaking",Houston,Freshman,Mathematics,3.15,"English, German","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Behavioral Economics
335,Student 335,Psychology,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Freshman,History,2.18,"Chinese, English, German, Japanese, Spanish",Debate Club,Renewable Energy
336,Student 336,Mathematics,Volunteer Group,"Artistic, Leadership, Programming",Houston,Freshman,History,3.83,"English, French, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Renewable Energy
337,Student 337,History,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Sophomore,Biology,2.52,"English, French, German, Spanish","Art Club, Music Club, Volunteer Group",Climate Change
338,Student 338,Computer Science,Debate Club,"Leadership, Problem Solving, Programming",Los Angeles,Graduate,History,3.37,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Environmental Sustainability
339,Student 339,Mathematics,Music Club,"Artistic, Problem Solving",Chicago,Senior,History,2.26,"German, Japanese","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Cybersecurity
340,Student 340,Biology,Coding Club,"Artistic, Leadership",Boston,Graduate,Biology,3.41,"Chinese, English, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Educational Technology
341,Student 341,Psychology,Music Club,"Artistic, Problem Solving, Programming, Public Speaking",San Francisco,Sophomore,History,2.91,"Chinese, English, French, Japanese, Spanish","Art Club, Debate Club, Music Club, Sports Team",Quantum Computing
342,Student 342,History,Art Club,"Leadership, Problem Solving, Programming, Public Speaking",Boston,Graduate,Mathematics,2.94,"Chinese, French, Japanese","Coding Club, Debate Club, Sports Team",Blockchain Technology
343,Student 343,Biology,Coding Club,"Artistic, Data Analysis, Leadership, Public Speaking",Chicago,Graduate,Physics,2.1,"German, Japanese",Music Club,Cognitive Psychology
344,Student 344,Physics,Sports Team,Leadership,San Francisco,Junior,Computer Science,2.63,"English, German, Japanese","Art Club, Debate Club, Music Club, Volunteer Group",Social Sciences
345,Student 345,Biology,Music Club,"Artistic, Leadership, Problem Solving, Programming, Public Speaking",New York,Junior,History,3.5700000000000003,Japanese,Coding Club,Behavioral Economics
346,Student 346,Mathematics,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Sophomore,Mathematics,3.77,"Chinese, English, French, German, Japanese, Spanish","Debate Club, Music Club, Sports Team",Human-Computer Interaction
347,Student 347,Computer Science,Sports Team,"Data Analysis, Leadership, Programming, Public Speaking",San Francisco,Sophomore,Physics,2.62,"Chinese, English, German","Art Club, Debate Club, Music Club",Urban Planning
348,Student 348,Physics,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Graduate,Psychology,3.77,"Chinese, English, French, German, Japanese, Spanish",Volunteer Group,Climate Change
349,Student 349,Psychology,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",New York,Senior,Psychology,3.89,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Volunteer Group",Climate Change
350,Student 350,Computer Science,Art Club,Artistic,Boston,Junior,Computer Science,3.68,"Chinese, English, German, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Environmental Sustainability
351,Student 351,Psychology,Debate Club,"Artistic, Problem Solving",Chicago,Senior,Psychology,3.31,Japanese,"Music Club, Volunteer Group",Blockchain Technology
447,Student 447,Biology,Art Club,Artistic,Boston,Sophomore,Computer Science,2.7800000000000002,"Chinese, English, French, German, Japanese, Spanish",Coding Club,Climate Change
352,Student 352,Mathematics,Volunteer Group,Programming,New York,Graduate,Computer Science,3.94,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Debate Club, Sports Team, Volunteer Group",Bioinformatics
353,Student 353,Computer Science,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Sophomore,History,2.73,"English, French, Japanese, Spanish","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Social Sciences
354,Student 354,History,Art Club,"Leadership, Programming, Public Speaking",Houston,Freshman,History,2.34,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Renewable Energy
355,Student 355,Biology,Coding Club,"Artistic, Programming",San Francisco,Graduate,Psychology,2.05,"English, French, German, Japanese, Spanish",Sports Team,Environmental Sustainability
356,Student 356,Physics,Music Club,"Artistic, Public Speaking",New York,Freshman,Mathematics,3.19,"Chinese, English, German, Japanese, Spanish",Art Club,Biomedical Engineering
357,Student 357,Mathematics,Coding Club,"Data Analysis, Problem Solving",Chicago,Sophomore,Computer Science,3.34,"Chinese, English, French, German, Japanese, Spanish","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Climate Change
358,Student 358,Physics,Coding Club,Programming,New York,Graduate,Physics,3.76,"Chinese, French, German, Spanish",Art Club,Data Science
359,Student 359,Biology,Sports Team,Programming,Houston,Sophomore,Computer Science,2.54,"Chinese, English, Japanese","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Space Exploration
360,Student 360,Computer Science,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Sophomore,Psychology,2.98,"Japanese, Spanish","Art Club, Coding Club, Debate Club, Volunteer Group",Behavioral Economics
361,Student 361,History,Music Club,"Data Analysis, Leadership, Problem Solving, Programming",New York,Sophomore,Mathematics,2.71,"Chinese, English, French, Japanese, Spanish",Coding Club,Data Science
362,Student 362,Physics,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Junior,Computer Science,2.76,"Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Environmental Sustainability
363,Student 363,Psychology,Volunteer Group,"Artistic, Leadership, Problem Solving, Public Speaking",San Francisco,Senior,Physics,2.17,"Chinese, English, French, German, Japanese, Spanish","Music Club, Sports Team, Volunteer Group",Cybersecurity
364,Student 364,Physics,Debate Club,"Artistic, Data Analysis, Leadership, Programming",San Francisco,Graduate,Psychology,2.43,"English, Japanese","Art Club, Coding Club, Music Club",Healthcare Management
365,Student 365,Physics,Volunteer Group,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",Los Angeles,Graduate,History,3.68,"Chinese, English, German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Educational Technology
366,Student 366,Mathematics,Music Club,"Leadership, Problem Solving, Programming",Houston,Junior,Computer Science,2.98,"English, French, German, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Behavioral Economics
367,Student 367,Psychology,Volunteer Group,"Data Analysis, Programming",Chicago,Freshman,History,3.11,German,Sports Team,Data Science
368,Student 368,Computer Science,Music Club,"Artistic, Data Analysis, Leadership, Programming",Los Angeles,Sophomore,Biology,3.56,"Chinese, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Human-Computer Interaction
369,Student 369,Psychology,Art Club,"Artistic, Data Analysis, Public Speaking",Houston,Junior,History,2.64,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Natural Language Processing
370,Student 370,Mathematics,Volunteer Group,"Leadership, Problem Solving, Public Speaking",New York,Graduate,Psychology,2.5,"Chinese, English, French, German, Spanish","Debate Club, Music Club, Sports Team, Volunteer Group",Natural Language Processing
371,Student 371,Mathematics,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Junior,Physics,2.19,"English, German",Sports Team,Educational Technology
372,Student 372,Physics,Debate Club,"Artistic, Leadership",Los Angeles,Freshman,Physics,3.86,"German, Japanese, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Renewable Energy
373,Student 373,Mathematics,Sports Team,"Data Analysis, Problem Solving",San Francisco,Freshman,Physics,2.43,"Chinese, English, French, German, Japanese, Spanish","Debate Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
374,Student 374,Mathematics,Music Club,"Artistic, Data Analysis, Leadership, Programming",Los Angeles,Junior,Computer Science,2.86,"Chinese, English, French, German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Renewable Energy
375,Student 375,Physics,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Graduate,Physics,3.49,"English, Spanish",Debate Club,Sustainable Agriculture
376,Student 376,Mathematics,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Freshman,Psychology,2.21,"Chinese, English","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Nanotechnology
377,Student 377,Psychology,Coding Club,"Artistic, Data Analysis, Leadership",Los Angeles,Senior,History,2.13,"English, French, German, Japanese","Music Club, Sports Team, Volunteer Group",Healthcare Management
378,Student 378,History,Coding Club,"Artistic, Leadership, Problem Solving, Programming, Public Speaking",Houston,Sophomore,Physics,2.34,French,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Sustainable Agriculture
379,Student 379,Psychology,Volunteer Group,"Artistic, Data Analysis, Problem Solving",Houston,Senior,Psychology,3.42,"Chinese, English, French","Sports Team, Volunteer Group",Renewable Energy
380,Student 380,Mathematics,Coding Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",San Francisco,Freshman,Biology,2.43,"Chinese, French, German, Japanese, Spanish","Music Club, Volunteer Group",Educational Technology
381,Student 381,Biology,Sports Team,Programming,New York,Graduate,Computer Science,3.96,"English, Spanish",Coding Club,Behavioral Economics
382,Student 382,Computer Science,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Houston,Sophomore,Computer Science,2.92,"English, German","Art Club, Debate Club, Volunteer Group",Renewable Energy
383,Student 383,Biology,Debate Club,"Data Analysis, Problem Solving",Houston,Graduate,Computer Science,2.93,"Chinese, English, French, German, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
384,Student 384,History,Debate Club,Programming,New York,Junior,Computer Science,2.32,"Chinese, English, French, German, Japanese, Spanish","Music Club, Sports Team, Volunteer Group",Cybersecurity
385,Student 385,Psychology,Volunteer Group,"Data Analysis, Leadership, Problem Solving, Programming",San Francisco,Sophomore,Physics,2.2800000000000002,"Chinese, English, French, German, Japanese, Spanish",Coding Club,Climate Change
386,Student 386,Mathematics,Music Club,"Data Analysis, Programming, Public Speaking",Houston,Junior,Mathematics,3.3,"Chinese, English, French, German, Japanese, Spanish","Sports Team, Volunteer Group",Urban Planning
387,Student 387,Physics,Sports Team,"Data Analysis, Programming, Public Speaking",San Francisco,Sophomore,Computer Science,3.84,Japanese,"Music Club, Volunteer Group",Political Science
388,Student 388,Computer Science,Sports Team,Artistic,Houston,Senior,Biology,3.69,"Chinese, German, Japanese, Spanish","Debate Club, Music Club, Sports Team",Educational Technology
389,Student 389,Physics,Art Club,"Leadership, Programming",Houston,Senior,Biology,3.21,"Chinese, English, French, Japanese, Spanish","Art Club, Music Club",Social Sciences
390,Student 390,History,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",New York,Graduate,Physics,3.31,"French, German, Japanese","Music Club, Volunteer Group",Quantum Computing
391,Student 391,Psychology,Music Club,Leadership,Boston,Graduate,Mathematics,3.26,French,"Music Club, Sports Team",Astrophysics
392,Student 392,Computer Science,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Junior,History,2.75,German,"Art Club, Debate Club, Music Club, Sports Team",Space Exploration
